,noah,vic,clsm
2002-10-01,-18.37020256228576,-50.27240546653533,-22.71302978317712
2002-11-01,-46.53335544032555,-62.37249642741215,-16.017533578675582
2002-12-01,-31.44547492430624,-35.81128501014371,1.9363092861051976
2003-01-01,-61.0232000390007,-63.85964089063898,-37.39249893049848
2003-02-01,-27.39897038784912,-28.00716057114326,-7.886912585841003
2003-03-01,-23.82767945458621,-26.300590036805303,-3.3566347567851365
2003-04-01,-27.472656554509616,-31.55815553552902,-13.184935867634543
2003-05-01,-35.4686728504098,-46.78903428070043,-32.27420507672374
2003-07-01,-27.855896913535762,-41.62068173934604,-17.9961762007833
2003-08-01,-39.30420725237274,-57.46121952613056,-35.93611506871101
2003-09-01,-62.303729170412815,-67.23898826972379,-24.00447698476655
2003-10-01,-85.60699073305545,-44.25132037618555,9.617847609558893
2003-11-01,-39.01426409791952,22.435689082180403,57.04210740483493
2003-12-01,-33.60997549748673,15.863190496400316,37.88892857893495
2004-01-01,-37.447552424089544,5.6862203718735564,16.63583671342469
2004-02-01,-54.46713709927343,-18.663422298652765,-4.662526337995748
2004-03-01,-21.561125026621408,6.935054850825066,17.649240504500824
2004-04-01,-37.058414161610564,-6.835298339522465,20.526208427932897
2004-05-01,-14.576689512769246,11.848011122723019,38.00619317220531
2004-06-01,-18.96513441683954,-1.2901519163132091,22.787346396181714
2004-07-01,-29.996884117033403,-14.966072637005762,4.0194057010283855
2004-08-01,-41.67112775883784,-31.988716824939683,-6.037144599596089
2004-09-01,-65.0856773438354,-47.438256722946434,-12.516528331403885
2004-10-01,-30.745378512231575,-13.987194781389377,6.090157727688472
2004-11-01,-21.0932382537458,-5.328490949239785,10.137286145373116
2004-12-01,-6.965042389578258,8.402534059015737,22.353979976625112
2005-01-01,-9.04115499946498,4.692322372884773,10.717084898441815
2005-02-01,-0.8854108073230248,14.796107634958778,23.728833693275025
2005-03-01,-7.782297680646777,4.0586451062664635,17.45922340582643
2005-04-01,7.895086360157068,16.04301422309174,26.539910981125345
2005-05-01,-15.588342228190035,-6.385772936636516,-8.86045995944677
2005-06-01,-11.066014590569345,-4.385932553811083,-6.893968287516591
2005-07-01,-9.437476226657262,-9.929437644020277,-19.552923937907334
2005-08-01,-13.99039579723309,-14.873826987601136,7.320397592458291
2005-09-01,-6.5081971539049945,-10.369485474785602,-8.673364078569321
2005-10-01,-16.61353396209463,-26.96214187458435,-32.06899232350596
2005-11-01,-37.33545870763457,-45.01005515099847,-43.785454091138085
2005-12-01,-37.446205135688786,-46.71978706594364,-48.73565214978695
2006-01-01,-17.266182479650798,-26.8515889563209,-32.74928910558561
2006-02-01,-17.4715386617039,-26.553183237732277,-36.61046121086478
2006-03-01,-25.412949588639574,-37.7999466671154,-54.2102915065041
2006-04-01,-8.308784012878077,-19.770828899804552,-36.6766600480301
2006-05-01,-24.663299929549446,-34.23757173874102,-50.35669129856675
2006-06-01,1.3505897363893469,-2.014014543033609,-23.363517420169803
2006-07-01,15.324911764197429,10.952112234674015,-17.71538010386488
2006-08-01,24.73607148415616,18.165765341876444,-5.6153492809802
2006-09-01,10.8637183307533,-3.6279785181287143,-15.297424406135326
2006-10-01,-24.409001455826807,-32.38839698702599,-17.017568289258595
2006-11-01,-14.119178916985723,-18.184232007455787,-5.306382780559794
2006-12-01,-23.106930963489926,-25.85559155310599,-11.914429912755518
2007-01-01,-13.425402742446252,-11.73306580219947,9.749696484815733
2007-02-01,-38.799991117368535,-33.62167835811121,-3.7739327799167555
2007-03-01,-27.12359276659906,-20.525752514099715,-1.9175616255686718
2007-04-01,-31.91368998510495,-25.63710669173498,-4.94322520184771
2007-05-01,-49.71652628480615,-42.12106125297156,-24.192363041133863
2007-06-01,-24.730082054695554,-18.56111920952323,-0.029329079059608007
2007-07-01,-46.56220546028082,-38.54046993029137,-8.107028679896601
